ICAO_Code,FAA_Designator,Manufacturer,Model_FAA,Model_BADA,Physical_Class_Engine,Num_Engines,AAC,AAC_minimum,AAC_maximum,ADG,TDG,Approach_Speed_knot,Approach_Speed_minimum_knot,Approach_Speed_maximum_knot,Wingspan_ft_without_winglets_sharklets,Wingspan_ft_with_winglets_sharklets,Length_ft,Tail_Height_at_OEW_ft,Wheelbase_ft,Cockpit_to_Main_Gear_ft,Main_Gear_Width_ft,MTOW_lb,MALW_lb,Main_Gear_Config,ICAO_WTC,Parking_Area_ft2,Class,FAA_Weight,CWT,One_Half_Wake_Category,Two_Wake_Category_Appx_A,Two_Wake_Category_Appx_B,Rotor_Diameter_ft,SRS,LAHSO,FAA_Registry,Registration_Count,Total_IFR_Operations_2021_2022,Remarks,,,,,,,,,,,,,,,,
B737,B737,BOEING,Boeing 737-700,Boeing B737-700,Jet,2,C,,,III,3,130,,,112.6,117.4,110.3,41.6,41.3,46.6,22.9,"154,500","145,600",D,Medium,"14,137.2",Fixed-wing,Large,F,D,D,C,,III,8,Yes,633,"2,923,610",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
B738,B738,BOEING,Boeing 737-800,Boeing B737-800,Jet,2,D,C,D,III,3,144,140,144,112.6,117.4,129.5,41.4,51.2,56.4,23.0,"174,200","146,275",D,Medium,"16,487.0",Fixed-wing,Large,F,D,D,C,,III,8,Yes,971,"4,459,952","Depending on flaps configuration and MALW, AAC could be C. AAC validated by Flight Standardization Board (FSB) report.",,,,,,,,,,,,,,,,
B739,B739,BOEING,Boeing 737-900,Boeing B737-900ER,Jet,2,D,C,D,III,3,149,140,149,112.6,117.4,138.2,41.4,56.3,61.6,23.0,"187,700","71,400",D,Medium,"17,549.4",Fixed-wing,Large,F,D,D,C,,III,8,Yes,296,"1,420,859","Depending on flaps configuration and MALW, AAC could be C. AAC validated by Flight Standardization Board (FSB) report.",,,,,,,,,,,,,,,,
B741,B741,BOEING,Boeing 747-100,Boeing 747-100,Jet,4,D,,,V,5,144,,,195.7,,231.8,64.3,87.9,94.4,40.7,"750,000","585,000",2D/2D2,Heavy,"48,709.5",Fixed-wing,Heavy,D,B,G,G,,III,10,Yes,5,22,,,,,,,,,,,,,,,,,
B742,B742,BOEING,Boeing 747-200,Boeing B747-200,Jet,4,D,,,V,5,150,,,195.7,,231.8,64.7,87.9,94.4,40.7,"833,000","630,000",2D/2D2,Heavy,"48,708.8",Fixed-wing,Heavy,B,B,B,A,,III,10,Yes,13,"2,222",,,,,,,,,,,,,,,,,
B743,B743,BOEING,Boeing 747-300,Boeing B747-300,Jet,4,D,,,V,5,142,,,195.7,,231.8,64.3,87.9,94.4,40.7,"833,000","574,000",2D/2D2,Heavy,"48,709.5",Fixed-wing,Heavy,D,B,G,G,,III,10,No,0,10,,,,,,,,,,,,,,,,,
B744,B744,BOEING,Boeing 747-400,Boeing B747-400,Jet,4,D,,,V,5,157,,,195.7,,231.9,64.3,87.9,94.4,40.7,"910,000","630,000",2D/2D2,Heavy,"48,713.8",Fixed-wing,Heavy,B,B,B,A,,III,10,Yes,125,"219,544",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
B748,B748,BOEING,Boeing 747-8,Boeing B747-8F,Jet,4,D,,,VI,6,159,,,224.4,,250.2,64.2,97.3,109.0,41.8,"987,000","688,000",2D/2D2,Heavy,"59,815.3",Fixed-wing,Heavy,B,B,B,A,,III,8,Yes,41,"127,487",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
B752,B752,BOEING,Boeing 757-200,Boeing B757-200,Jet,2,C,,,IV,4,137,,,124.8,134.8,155.3,45.1,60.0,72.0,28.0,"255,500","198,000",2D,Medium,"21,601.7",Fixed-wing,Large,E,D,D,C,,III,7,Yes,474,"815,959",,,,,,,,,,,,,,,,,
B753,B753,BOEING,Boeing 757-300,Boeing B757-300,Jet,2,D,,,IV,4,143,,,124.8,134.8,178.6,44.8,73.3,85.3,28.0,"270,000","224,000",2D,Medium,"24,752.1",Fixed-wing,Large,E,D,D,C,,III,8,Yes,37,"109,218",,,,,,,,,,,,,,,,,
B762,B762,BOEING,Boeing 767-200,Boeing B767-200,Jet,2,C,,,IV,5,135,,,156.1,,159.2,52.9,64.6,72.1,35.8,"315,000","260,000",2D,Heavy,"27,265.3",Fixed-wing,Heavy,C,C,C,B,,III,9,Yes,65,"107,137",,,,,,,,,,,,,,,,,
B763,B763,BOEING,Boeing 767-300,Boeing B767-300ER,Jet,2,C,,,IV,5,140,,,156.1,167.0,180.3,52.6,74.7,82.2,35.8,"412,000","320,000",2D,Heavy,"30,766.3",Fixed-wing,Heavy,C,C,C,B,,III,9,Yes,462,"960,856",,,,,,,,,,,,,,,,,
B764,B764,BOEING,Boeing 767-400,Boeing B767-400,Jet,2,D,,,IV,5,150,,,170.3,,201.3,55.8,85.8,92.0,36.0,"450,000","350,000",2D,Heavy,"37,207.5",Fixed-wing,Heavy,C,C,C,B,,III,9,Yes,37,"60,793",,,,,,,,,,,,,,,,,
B772,B772,BOEING,Boeing 777-200,Boeing B777-200ER,Jet,2,C,,,V,5,140,,,199.9,,209.1,61.5,84.9,96.8,42.3,"656,000","470,000",3D,Heavy,"44,939.7",Fixed-wing,Heavy,B,B,B,A,,III,9,Yes,169,"222,264",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
B773,B773,BOEING,Boeing 777-300,Boeing B777-300,Jet,2,D,,,V,6,149,,,199.9,,209.1,61.5,102.4,112.3,42.3,"660,000","524,000",3D,Heavy,"44,939.7",Fixed-wing,Heavy,B,B,B,A,,III,9,Yes,6,971,AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
B778,B778,BOEING,Boeing 777-8 ,Boeing 777-8,Jet,2,D,,,VI,6,152,,,235.4,,229.0,63.9,93.7,105.2,42.1,"775,000","587,000",3D,Heavy,"57,423.6",Fixed-wing,Heavy,D,B,N/A,N/A,,III,N/A,No,0,4,Estimated approach speed. Aircraft is in flight testing.,,,,,,,,,,,,,,,,
B779,B779,BOEING,Boeing 777-9,Boeing 777-9,Jet,2,D,,,VI,6,154,,,235.4,,251.8,64.6,106.1,118.7,42.1,"775,000","587,000",3D,Heavy,"63,018.7",Fixed-wing,Heavy,D,B,N/A,N/A,,III,N/A,Yes,5,"1,166",Estimated approach speed. Aircraft is in flight testing.,,,,,,,,,,,,,,,,
B77L,B77L,BOEING,Boeing 777-200LRF/LR,Boeing B777-200LR,Jet,2,C,,,V,5,140,,,212.1,,209.1,61.5,90.5,94.8,46.2,"766,106","575,000",3D,Heavy,"47,551.6",Fixed-wing,Heavy,B,B,B,A,,III,7,Yes,12,"205,730",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
B77W,B77W,BOEING,Boeing 777-300ER,Boeing B777-300ER,Jet,2,D,,,V,6,149,,,212.6,,242.3,61.8,102.4,114.4,42.3,"775,000","554,000",3D,Heavy,"55,052.3",Fixed-wing,Heavy,B,B,B,A,,III,7,Yes,51,"412,592",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
B788,B788,BOEING,Boeing 787-8 BBJ/Dreamliner,Boeing B787-8,Jet,2,D,C,D,V,5,144,140,144,197.3,,186.1,56.1,74.8,83.4,38.1,"502,500","380,000",2D,Heavy,"39,602.0",Fixed-wing,Heavy,B,B,B,A,,III,7,Yes,69,"208,774","Depending on configurations and performance packages, AAC could be C. AAC validated by Flight Standardization Board (FSB) report.",,,,,,,,,,,,,,,,
B789,B789,BOEING,Boeing 787-9 Dreamliner,Boeing B787-9,Jet,2,D,C,D,V,5,144,140,144,197.3,,206.1,56.1,84.8,93.4,38.9,"560,000","425,000",2D,Heavy,"43,747.0",Fixed-wing,Heavy,B,B,B,A,,III,7,Yes,68,"425,930","Depending on configurations and performance packages, AAC could be C. AAC validated by Flight Standardization Board (FSB) report.",,,,,,,,,,,,,,,,
B78X,B78X,BOEING,Boeing 787-10 Dreamliner,Boeing B787-10,Jet,2,D,,,V,6,149,,,197.3,,224.1,55.8,94.8,103.4,38.9,"560,000","445,000",2D,Heavy,"47,488.3",Fixed-wing,Heavy,D,B,G,G,,III,N/A,Yes,16,"47,436",Approach speed estimated by Virginia Tech.,,,,,,,,,,,,,,,,
BA11,BA11,BAC,BAC 111 One-Eleven,BAC 1.11/400,Jet,2,C,,,III,2B,133,,,88.5,,93.5,24.5,34.5,42.3,18.6,"87,000","86,999",D,Medium,"9,702.3",Fixed-wing,Large,F,D,D,C,,III,7,Yes,2,0,,,,,,,,,,,,,,,,,
BCS1,BCS1,AIRBUS-BOMBARDIER,Airbus A220-100,Bombardier CS100,Jet,2,C,,,III,3,130,,,115.1,,114.8,38.7,42.8,45.4,26.3,"139,100","119,490",D,Medium,"14,978.3",Fixed-wing,Large,F,D,D,C,,III,7,Yes,45,"174,932",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
BCS3,BCS3,AIRBUS-BOMBARDIER,Airbus A220-300,Bombardier CS300,Jet,2,C,,,III,3,135,,,115.1,,127.0,38.7,48.0,50.7,26.3,"156,307","133,600",D,Medium,"16,511.5",Fixed-wing,Large,F,D,D,C,,III,7,Yes,42,"163,166",,,,,,,,,,,,,,,,,
BE10,BE10,BEECH,Beech King Air 100,Beech 100 King Air,Turboprop,2,B,,,I,1A,111,,,45.9,,39.9,15.4,13.9,15.0,13.7,"11,800","11,210",D,Light,"2,511.6",Fixed-wing,Small,I,F,F,F,,II,7,Yes,105,"87,014",,,,,,,,,,,,,,,,,
BE18,BE18,BEECH,Beech 18,Beech 18 Twin Beech,Piston,2,A,,,II,2A,87,,,49.7,,35.3,9.3,30.0,30.0,19.2,"9,700","9,400",S,Light,"2,401.6",Fixed-wing,Small,I,F,F,F,,II,4,Yes,186,"1,032",,,,,,,,,,,,,,,,,
BE19,BE19,BEECH,Beech B19 Musketeer,Beech 19 Sport,Piston,1,A,,,I,1A,65,,,32.8,,25.7,8.3,6.2,6.2,12.3,"2,150","1,999",S,Light,"1,314.0",Fixed-wing,Small,I,F,F,F,,I,1,Yes,265,540,,,,,,,,,,,,,,,,,
BE20,BE20,BEECH,Beech 200 Super King,Beechcraft Super King Air B200,Turboprop,2,B,,,II,2A,107,,,54.5,,43.8,15.0,15.0,15.0,17.2,"12,500","12,500",D,Light/Medium,"3,144.4",Fixed-wing,Small+,I,F,F,F,,III,7,Yes,764,"881,961",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
BE23,BE23,BEECH,Beech 23 Sundowner,Beech 23 Musketeer,Piston,1,A,,,I,1A,70,,,32.8,,25.7,8.3,5.9,5.9,11.8,"2,450","2,450",S,Light,"1,314.0",Fixed-wing,Small,I,F,F,F,,I,2,Yes,467,"6,055",,,,,,,,,,,,,,,,,
BE24,BE24,BEECH,Beech 24 Sierra,Beech 24 Sierra,Piston,1,A,,,I,1A,78,,,32.8,,25.7,8.3,5.9,5.9,13.6,"2,750","2,750",S,Light,"1,314.0",Fixed-wing,Small,I,F,F,F,,I,3,Yes,177,"4,687",,,,,,,,,,,,,,,,,
BE30,BE30,RAYTHEON-BEECH,Raytheon 300 Super King Air,Beech Super King Air 300,Turboprop,2,B,,,II,2A,107,,,57.9,,46.7,14.3,16.3,16.3,17.2,"14,000","14,000",D,Light,"3,509.0",Fixed-wing,Small+,I,F,F,F,,III,6,Yes,437,"128,969",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
BE33,BE33,BEECH,Beech Bonanza 33,Beech 33 Bonanza,Piston,1,A,,,I,1A,69,,,33.5,,26.7,8.3,7.3,7.3,9.6,"3,400","3,400",S,Light,"1,377.6",Fixed-wing,Small,I,F,F,F,,I,4,Yes,"1,997","58,462",,,,,,,,,,,,,,,,,
BE35,BE35,BEECH,Beech Bonanza 35,Beech 35 Bonanza,Piston,1,A,,,I,1A,72,,,35.5,,25.2,7.6,7.3,7.3,9.6,"3,400","3,400",S,Light,"1,372.7",Fixed-wing,Small,I,F,F,F,,I,3,Yes,"5,071","79,943",,,,,,,,,,,,,,,,,
BE36,BE36,BEECH,Beech Bonanza 36,Beechcraft Bonanza G36,Piston,1,A,,,I,1A,77,,,33.5,,27.5,8.6,6.7,6.7,9.6,"3,650","3,650",S,Light,"1,413.8",Fixed-wing,Small,I,F,F,F,,I,2,Yes,"2,533","184,714",,,,,,,,,,,,,,,,,
BE40,BE40,RAYTHEON-BEECH-HAWKER,Raytheon/Beech Beechjet 400/T-1 Jayhawk,Hawker 400XP,Jet,2,B,,,I,1A,114,,,43.5,,48.4,13.9,19.3,19.3,9.3,"16,100","15,700",S,Medium,"2,857.8",Fixed-wing,Small+,H,F,E,E,,III,8,Yes,399,"425,535",,,,,,,,,,,,,,,,,
BE50,BE50,BEECH,Beechcraft 50 Twin Bonanza,Beech 50 Twin Bonanza,Piston,2,A,,,I,1A,80,,,45.3,,31.5,11.3,7.1,7.1,14.0,"6,305",N/A,S,Light,"2,018.5",Fixed-wing,Small,I,F,F,F,,II,4,Yes,123,"1,549",,,,,,,,,,,,,,,,,
BE55,BE55,BEECH,Beech Baron 55,Beech 55 Baron,Piston,2,B,,,I,1A,95,,,37.8,,28.0,9.6,7.0,7.0,9.6,"5,100","5,100",S,Light,"1,578.5",Fixed-wing,Small,I,F,F,F,,II,6,Yes,"1,561","56,837",,,,,,,,,,,,,,,,,
BE58,BE58,BEECH,Beech 58 Baron,Beechcraft Baron 58,Piston,2,B,,,I,1A,95,,,37.8,,29.8,9.8,8.0,8.0,9.6,"5,500","5,400",S,Light,"1,666.2",Fixed-wing,Small,I,F,F,F,,II,6,Yes,"1,224","177,473",,,,,,,,,,,,,,,,,
BE60,BE60,BEECH,Beech 60 Duke,Beech 60 Duke,Piston,2,B,,,I,1A,98,,,39.3,,33.8,12.3,7.0,7.0,12.0,"6,775","6,775",S,Light,"1,912.5",Fixed-wing,Small,I,F,F,F,,II,8,Yes,266,"8,858",,,,,,,,,,,,,,,,,
BE65,BE65,BEECH,Beech 65 Queen Air,Beech 65 Queen Air,Piston,2,B,,,I,1A,92,,,45.9,,35.5,14.3,12.3,12.3,13.8,"7,700","7,700",S,Light,"2,262.9",Fixed-wing,Small,I,F,F,F,,II,5,Yes,37,"18,637",,,,,,,,,,,,,,,,,
BE70,BE70,BEECH,Beech 70 Queen Air,Beech 70 Queen Air,Piston,2,B,,,II,1A,92,,,50.3,,35.5,14.3,12.3,12.3,13.9,"8,200","8,200",S,Light,"2,440.1",Fixed-wing,Small,I,F,F,F,,II,1,Yes,5,2,,,,,,,,,,,,,,,,,
BE76,BE76,BEECH,Beech 76 Duchess,Beech Duchess 76,Piston,2,A,,,I,1A,76,,,38.0,,29.0,9.5,7.4,7.4,11.1,"3,900","3,900",S,Light,"1,632.0",Fixed-wing,Small,I,F,F,F,,II,4,Yes,157,"5,934",,,,,,,,,,,,,,,,,
BE77,BE77,BEECH,Beech 77 Skipper,Beech 77 Skipper,Piston,1,A,,,I,1A,63,,,30.0,,24.0,7.9,4.9,4.9,8.8,"1,675","1,675",S,Light,"1,160.0",Fixed-wing,Small,I,F,F,F,,I,1,Yes,121,84,,,,,,,,,,,,,,,,,
BE80,BE80,BEECH,Beech BE-80 Queen Air,Beech 80 Queen Air,Piston,2,B,,,II,1A,92,,,50.3,,35.5,14.3,12.3,12.3,14.0,"8,000","8,000",S,Light,"2,442.2",Fixed-wing,Small,I,F,F,F,,II,5,Yes,23,"1,140",,,,,,,,,,,,,,,,,
BE95,BE95,BEECH,Beechcraft 95 Travel Air,Beech 95 Travel Air,Piston,2,A,,,II,1A,79,,,37.8,,25.9,9.5,7.2,7.2,11.1,"4,200",N/A,S,Light,"1,478.7",Fixed-wing,Small,I,F,F,F,,II,5,Yes,262,"5,346",,,,,,,,,,,,,,,,,
BE99,BE99,BEECH,Beech Airliner 99,Beech 99A Airliner,Turboprop,2,B,,,I,1A,107,,,45.9,,44.6,14.3,17.8,17.8,14.9,"11,300","11,300",D,Light,"2,773.6",Fixed-wing,Small,I,F,F,F,,II,5,Yes,115,"131,129",,,,,,,,,,,,,,,,,
BE9L,BE9L,BEECH,Beech King Air 90,Beechcraft King Air E90,Turboprop,2,B,,,II,1A,100,,,50.3,,35.5,14.3,12.3,12.3,12.8,"10,485","9,600",S,Light,"2,442.2",Fixed-wing,Small,I,F,F,F,,II,5,Yes,858,"470,799",,,,,,,,,,,,,,,,,
BE9T,BE9T,BEECH,Beech F90 King Air,Beech 90 (F90) King Air,Turboprop,2,B,,,II,2A,108,,,54.5,,35.5,14.8,12.3,13.0,16.3,"10,950","10,950",S,Light,"2,612.3",Fixed-wing,Small,I,F,F,F,,II,7,Yes,123,"29,663",,,,,,,,,,,,,,,,,
BL17,BL17,BELLANCA,Bellanca Viking,Bellanca 17 Viking,Piston,1,A,,,I,1A,79,,,34.2,,26.3,7.3,6.7,9.0,9.0,"3,325","3,325",S,Light,"1,384.0",Fixed-wing,Small,I,F,F,F,,I,1,Yes,635,"4,052",,,,,,,,,,,,,,,,,
BL8,BL8,BELLANCA,Bellanca 8 Scout,Bellanca 8 Scout,Piston,1,A,,,I,1A,56,,,36.2,,23.0,8.6,15.5,14.5,6.9,"2,150",N/A,S,Light,"1,292.8",Fixed-wing,Small,I,F,F,F,,I,2,Yes,180,318,,,,,,,,,,,,,,,,,
BLCF,BLCF,BOEING,Boeing 747-400LCF Dreamlifter,Boeing 747-400LCF Dreamlifter,Jet,4,D,,,V,4,155,,,213.0,,235.2,70.7,88.7,95.0,27.5,"803,001","652,000",2D/2D2,Heavy,"53,564.6",Fixed-wing,Heavy,D,B,G,G,,III,N/A,Yes,4,"1,221",,,,,,,,,,,,,,,,,
BT36,BT36,BEECH,Beech 36 Bonanza,Beech Bonanza B36TC,Piston,1,A,,,I,1A,73,,,37.8,,27.5,8.6,9.0,9.0,12.8,"3,850","3,850",S,Light,"1,553.5",Fixed-wing,Small,I,F,F,F,,I,3,Yes,"2,817","13,046",,,,,,,,,,,,,,,,,
C120,C120,CESSNA,Cessna 120,Cessna 120,Piston,1,A,,,I,1A,52,,,33.3,,21.5,6.3,17.3,17.3,7.1,"1,500","1,500",S,Light,"1,148.2",Fixed-wing,Small,I,F,F,F,,I,1,Yes,657,6,,,,,,,,,,,,,,,,,
C130,C130,LOCKHEED,Lockheed 130 Hercules,Lockheed L-100-30 Hercules,Turboprop,4,B,,,IV,2B,117,,,132.6,,97.8,38.8,40.9,43.0,16.0,"155,000","130,000",2S,Medium,"14,652.2",Fixed-wing,Large,F,D,D,C,,III,N/A,Yes,15,"87,047",,,,,,,,,,,,,,,,,
C140,C140,CESSNA,Cessna 140,Cessna 140,Piston,1,A,,,I,1A,52,,,33.3,,21.5,6.3,17.6,17.6,6.9,"1,500","1,500",S,Light,"1,148.2",Fixed-wing,Small,I,F,F,F,,I,3,Yes,"1,837",24,,,,,,,,,,,,,,,,,
C150,C150,CESSNA,Cessna 150,Cessna 150,Piston,1,A,,,I,1A,55,,,33.2,,23.9,8.5,4.7,4.7,7.1,"1,600","1,600",S,Light,"1,248.2",Fixed-wing,Small,I,F,F,F,,I,1,Yes,"8,194","7,524",,,,,,,,,,,,,,,,,
C152,C152,CESSNA,Cessna 152,Cessna 152,Piston,1,A,,,I,1A,56,,,33.2,,24.1,8.5,5.0,5.0,8.4,"1,675","1,675",S,Light,"1,255.4",Fixed-wing,Small,I,F,F,F,,I,1,Yes,"1,742","8,425",,,,,,,,,,,,,,,,,
C160,C160,TRANSALL,Transall C-160,Transall C-160P,Turboprop,2,C,,,IV,3,125,,,131.2,,106.3,38.4,35.0,35.0,21.5,"112,436","103,615",2D,Medium,"15,718.9",Fixed-wing,Large,F,D,D,C,,III,N/A,No,0,118,,,,,,,,,,,,,,,,,
C162,C162,CESSNA,Cessna 162 Skycatcher,Cessna 162,Piston,1,A,,,I,1A,51,,,30.0,,22.8,8.5,6.0,6.0,8.1,"1,320","1,320",S,Light,"1,112.0",Fixed-wing,Small,I,F,F,F,,I,2,Yes,180,96,,,,,,,,,,,,,,,,,
C17,C17,BOEING,Boeing Globemaster 3,Boeing C-17 Globemaster 3,Jet,4,B,,,IV,5,115,,,169.8,,174.0,55.1,61.8,63.7,33.7,"585,000","446,920",2T,Heavy,"32,184.2",Fixed-wing,Heavy,C,C,C,B,,III,N/A,Yes,222,"110,263",,,,,,,,,,,,,,,,,
C170,C170,CESSNA,Cessna 170,Cessna 170,Piston,1,A,,,I,1A,59,,,36.0,,25.0,6.6,5.6,5.6,10.0,"2,200","2,200",S,Light,"1,378.2",Fixed-wing,Small,I,F,F,F,,I,4,Yes,"2,059",562,,,,,,,,,,,,,,,,,
C172,C172,CESSNA,Cessna Skyhawk 172/Cutlass,Cessna 172S Skyhawk SP,Piston,1,A,,,I,1A,62,,,36.1,,27.2,8.9,5.4,5.4,8.4,"2,550","2,450",S,Light,"1,483.0",Fixed-wing,Small,I,F,F,F,,I,1,Yes,"20,154","640,671",,,,,,,,,,,,,,,,,
C175,C175,CESSNA,Cessna 175,Cessna 175 Skylark,Piston,1,A,,,I,1A,56,,,36.2,,25.0,8.5,5.5,5.5,10.0,"2,450","2,450",S,Light,"1,385.1",Fixed-wing,Small,I,F,F,F,,I,2,Yes,897,486,,,,,,,,,,,,,,,,,
C177,C177,CESSNA,Cessna 177 Cardinal,Cessna 177 Cardinal,Piston,1,A,,,I,1A,52,,,35.5,,27.3,8.6,6.4,6.4,8.9,"2,500","2,500",S,Light,"1,467.4",Fixed-wing,Small,I,F,F,F,,I,2,Yes,798,"12,700",,,,,,,,,,,,,,,,,
C180,C180,CESSNA,Cessna 180 Skywagon,Cessna 180,Piston,1,A,,,I,1B,64,,,35.8,,25.6,7.8,20.2,20.2,8.3,"2,800","2,800",S,Light,"1,403.5",Fixed-wing,Small,I,F,F,F,,I,2,Yes,"2,576","5,140",,,,,,,,,,,,,,,,,
C182,C182,CESSNA,Cessna Skylane 182,Cessna 182T Skylane,Piston,1,A,,,I,1A,65,,,36.0,,29.0,9.3,5.6,5.6,9.0,"3,100","2,950",S,Light,"1,564.0",Fixed-wing,Small,I,F,F,F,,I,2,Yes,"12,989","196,818",,,,,,,,,,,,,,,,,
C185,C185,CESSNA,Cessna 185 Skywagon,Cessna 185 Skywagon,Piston,1,A,,,I,1B,64,,,35.8,,25.6,7.8,20.6,20.6,10.4,"3,350","3,350",S,Light,"1,403.8",Fixed-wing,Small,I,F,F,F,,I,2,Yes,"1,576","4,732",,,,,,,,,,,,,,,,,
C188,C188,CESSNA,Cessna 188,Cessna A188B,Piston,1,A,,,I,1B,66,,,41.7,,26.3,7.7,20.6,20.6,8.6,"3,300","3,300",S,Light,"1,614.7",Fixed-wing,Small,I,F,F,F,,I,1,Yes,364,2,,,,,,,,,,,,,,,,,
C195,C195,CESSNA,Cessna 195,Cessna 195,Piston,1,A,,,I,1B,52,,,36.2,,27.3,7.2,20.3,20.3,8.5,"3,350","3,350",S,Light,"1,492.3",Fixed-wing,Small,I,F,F,F,,I,2,Yes,433,926,,,,,,,,,,,,,,,,,
C206,C206,CESSNA,Cessna 206 Stationair,Cessna 206H,Piston,1,A,,,I,1A,70,,,36.0,,28.3,9.3,5.8,5.8,8.1,"3,600","3,600",S,Light,"1,529.5",Fixed-wing,Small,I,F,F,F,,I,2,Yes,"2,241","32,900",,,,,,,,,,,,,,,,,
C207,C207,CESSNA,Cessna 207 Stationair 7,Cessna 207,Piston,1,A,,,I,1A,71,,,36.1,,31.5,9.7,6.8,1.8,10.3,"3,789","3,600",S,Light ,"1,913.0",Fixed-wing,Small,I,F,F,F,,I,2,Yes ,120,530,,,,,,,,,,,,,,,,,
C208,C208,CESSNA,Cessna 208 Caravan 1,Cessna 208B,Turboprop,1,A,,,II,1A,79,,,52.1,,37.6,15.1,7.7,7.7,11.7,"9,062","7,800",S,Light,"2,643.5",Fixed-wing,Small,I,F,F,F,,I,3,Yes,800,"844,895",,,,,,,,,,,,,,,,,
C210,C210,CESSNA,Cessna 210 Centurion,Cessna 210M,Piston,1,A,,,I,1A,85,,,36.8,,28.2,9.7,6.0,6.0,8.7,"3,800","3,800",S,Light,"1,553.8",Fixed-wing,Small,I,F,F,F,,I,2,Yes,"2,744","43,402",,,,,,,,,,,,,,,,,
C212,C212,CASA,CASA Aviocar,CASA C-212 Aviocar,Turboprop,2,A,,,II,1A,81,,,62.3,,53.0,20.7,18.1,18.1,11.2,"16,976","17,857",S,Medium,"4,193.4",Fixed-wing,Small+,H,F,E,E,,III,5,Yes,36,"9,222",,,,,,,,,,,,,,,,,
C240,C240,CESSNA,Cessna TTx Model T240,Cessna T240 Corvalis TTx,Piston,1,A,,,I,1A,78,,,36.1,,25.2,9.0,7.7,7.7,8.2,"3,600","3,420",S,Light,"1,392.2",Fixed-wing,Small,I,F,F,F,,I,7,Yes,68,"10,255",,,,,,,,,,,,,,,,,
C25A,C25A,CESSNA,Cessna Citation CJ2,Cessna Citation CJ2+,Jet,2,B,,,II,2A,114,,,49.8,,47.7,14.0,17.8,17.8,15.9,"12,500","11,525",S,Light,"3,151.2",Fixed-wing,Small,I,F,F,F,,III,7,Yes,284,"156,908",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
C25B,C25B,CESSNA,Cessna Citation CJ3,Cessna Citation CJ3,Jet,2,B,,,II,2A,108,,,53.3,,51.2,15.2,20.0,20.0,16.0,"13,870","12,750",S,Light,"3,557.2",Fixed-wing,Small+,I,F,F,F,,III,7,Yes ,360,"325,623",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
C25C,C25C,CESSNA,Cessna Citation CJ4,Cessna Citation CJ4,Jet,2,B,,,II,1B,111,,,50.8,,53.3,15.4,21.2,21.2,12.3,"17,110","15,660",S,Medium,"3,548.6",Fixed-wing,Small+,H,F,E,E,,III,7,Yes,153,"143,663",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
C25M,C25M,CESSNA,Cessna Citation M2,Cessna 525 Citation M2,Jet,2,B,,,I,1A,100,,,47.3,,42.6,13.9,15.3,15.3,13.0,"10,700","9,900",S,Light,"2,724.1",Fixed-wing,Small,I,F,F,F,,III,6,Yes,73,"75,733",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
C303,C303,CESSNA,Cessna 303 Crusader,Cessna Crusader,Piston,2,A,,,I,2A,90,,,39.0,,30.4,13.3,9.6,9.6,15.8,"5,150","3,605",S,Light,"1,736.8",Fixed-wing,Small,I,F,F,F,,II,2,Yes,57,"2,050",,,,,,,,,,,,,,,,,
