ICAO_Code,FAA_Designator,Manufacturer,Model_FAA,Model_BADA,Physical_Class_Engine,Num_Engines,AAC,AAC_minimum,AAC_maximum,ADG,TDG,Approach_Speed_knot,Approach_Speed_minimum_knot,Approach_Speed_maximum_knot,Wingspan_ft_without_winglets_sharklets,Wingspan_ft_with_winglets_sharklets,Length_ft,Tail_Height_at_OEW_ft,Wheelbase_ft,Cockpit_to_Main_Gear_ft,Main_Gear_Width_ft,MTOW_lb,MALW_lb,Main_Gear_Config,ICAO_WTC,Parking_Area_ft2,Class,FAA_Weight,CWT,One_Half_Wake_Category,Two_Wake_Category_Appx_A,Two_Wake_Category_Appx_B,Rotor_Diameter_ft,SRS,LAHSO,FAA_Registry,Registration_Count,Total_IFR_Operations_2021_2022,Remarks,,,,,,,,,,,,,,,,
C30J,C30J,LOCKHEED MARTIN,C-130J Super Hercules ; Lockheed,Lockheed Martin C-130J,Turboprop,4,C,,,IV,2A,128,,,132.6,,112.8,38.8,31.4,34.8,15.8,"155,000","130,000",2S,Medium,"16,798.3",Fixed-wing,Large,F,D,D,C,,III,N/A,Yes,121,"82,981",,,,,,,,,,,,,,,,,
C310,C310,CESSNA,Cessna 310,Cessna 310R,Piston,2,A,,,I,1A,87,,,36.9,,32.0,10.6,9.2,7.0,11.8,"5,500","5,500",S,Light,"1,735.9",Fixed-wing,Small,I,F,F,F,,II,4,Yes,"1,664","66,128",,,,,,,,,,,,,,,,,
C320,C320,CESSNA,Cessna 320 Skyknight,Cessna 320 Skyknight,Piston,2,A,,,I,1A,68,,,36.9,,32.0,10.6,9.5,9.5,12.9,"4,990","4,750",S,Light,"1,736.0",Fixed-wing,Small,I,F,F,F,,II,5,Yes,142,800,,,,,,,,,,,,,,,,,
C335,C335,CESSNA,Cessna 335,Cessna 335,Piston,2,B,,,I,1A,92,,,38.1,,34.3,12.6,10.0,10.0,13.7,"6,290","5,990",S,Light,"1,890.3",Fixed-wing,Small,I,F,F,F,,II,4,Yes,30,"1,350",,,,,,,,,,,,,,,,,
C340,C340,CESSNA,Cessna 340,Cessna 340A,Piston,2,B,,,I,1A,94,,,38.1,,43.3,12.6,10.3,10.6,12.9,"5,990","5,990",S,Light,"2,325.2",Fixed-wing,Small,I,F,F,F,,II,4,Yes,718,"54,531",,,,,,,,,,,,,,,,,
C402,C402,CESSNA,Cessna 401/402,Cessna 402B,Piston,2,A,,,I,1A,83,,,44.2,,36.4,11.4,8.8,10.5,14.7,"6,300","6,850",S,Light,"2,243.4",Fixed-wing,Small,I,F,F,F,,II,3,Yes,253,"157,498",,,,,,,,,,,,,,,,,
C404,C404,CESSNA,Cessna 404 Titan,Cessna 404 Titan,Piston,2,B,,,I,2A,96,,,46.3,,39.5,13.3,13.1,13.1,17.4,"8,400","8,100",S,Light,"2,508.0",Fixed-wing,Small,I,F,F,F,,II,5,Yes,27,"6,144",,,,,,,,,,,,,,,,,
C414,C414,CESSNA,Cessna Chancellor 414,Cessna 414A,Piston,2,B,,,I,1A,95,,,44.2,,36.4,11.5,3.5,9.7,17.4,"6,750","6,750",S,Light,"2,243.4",Fixed-wing,Small,I,F,F,F,,II,6,Yes,369,"74,138",,,,,,,,,,,,,,,,,
C421,C421,CESSNA,Cessna Golden Eagle 421,Cessna 421C,Piston,2,B,,,I,2A,96,,,44.2,,36.4,11.5,10.5,9.7,17.4,"7,450","7,200",S,Light,"2,243.4",Fixed-wing,Small,I,F,F,F,,II,6,Yes,741,"63,712",,,,,,,,,,,,,,,,,
C425,C425,CESSNA,Cessna 425 Corsair,Cessna 425 Corsair,Turboprop,2,B,,,I,2A,98,,,44.2,,35.8,12.6,10.5,10.5,19.8,"8,600","8,000",S,Light,"2,211.8",Fixed-wing,Small,I,F,F,F,,II,5,Yes,162,"32,764",,,,,,,,,,,,,,,,,
C441,C441,CESSNA,Cessna Conquest,Cessna 441 Conquest,Turboprop,2,B,,,II,1A,98,,,49.3,,39.0,13.2,12.5,13.9,14.1,"9,850","9,360",S,Light,"2,610.7",Fixed-wing,Small,I,F,F,F,,II,6,Yes,172,"55,820",,,,,,,,,,,,,,,,,
C500,C500,CESSNA,Cessna 500/Citation I,Cessna 500 Citation 1,Jet,2,B,,,I,1A,107,,,47.1,,43.5,14.3,17.8,17.8,12.9,"11,850","11,350",S,Light,"2,769.4",Fixed-wing,Small,I,F,F,F,,III,6,Yes,83,"12,665","According to FSB, If flaps configuration is set for 15 or 20 degrees (not full flaps), AAC is C. ",,,,,,,,,,,,,,,,
C501,C501,CESSNA,Cessna 1SP,Cessna 501 Citation 1SP,Jet,2,B,,,I,1A,107,,,47.1,,43.5,14.3,17.8,17.8,12.9,"11,850","11,350",S,Light,"2,769.4",Fixed-wing,Small,I,F,F,F,,III,6,Yes,208,"42,500","According to FSB, If flaps configuration is set for 15 or 20 degrees (not full flaps), AAC is C. ",,,,,,,,,,,,,,,,
C510,C510,CESSNA,Cessna Citation Mustang,Cessna Citation Mustang,Jet,2,B,,,I,1A,105,,,43.2,,40.6,13.4,14.3,14.3,11.8,"8,645","8,000",S,Light,"2,423.5",Fixed-wing,Small,I,F,F,F,,III,5,Yes,287,"107,879",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
C525,C525,CESSNA,Cessna CitationJet/CJ1,Cessna Citation CJ1+,Jet,2,B,,,I,1A,108,,,46.9,,42.6,13.8,15.3,15.3,13.0,"10,700","9,900",S,Light,"2,708.3",Fixed-wing,Small,I,F,F,F,,III,7,Yes,116,"292,176",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
C526,C526,CESSNA,Cessna 526 CitationJet,Cessna 526 CitationJet,Jet,2,B,,,I,1A,107,,,46.8,,42.6,13.8,15.3,15.3,13.0,"10,700","9,900",S,Light,"2,702.3",Fixed-wing,Small,I,F,F,F,,III,N/A,No,0,244,,,,,,,,,,,,,,,,,
C550,C550,CESSNA,Cessna Citation II/Bravo,Cessna Citation II,Jet,2,B,,,II,2A,105,,,51.7,,47.3,15.0,18.2,18.5,17.6,"15,100","13,500",S,Light,"3,226.9",Fixed-wing,Small+,I,F,F,F,,III,7,Yes,565,"196,246","According to FSB data, If flaps configuration is set for 15 or 20 degrees (not full flaps), AAC is C. ",,,,,,,,,,,,,,,,
C551,C551,CESSNA,Cessna Citation II/SP,Cessna Citation II/SP,Jet,2,B,,,II,1A,100,,,51.7,,47.7,15.0,18.5,18.5,13.3,"14,800","12,000",S,Light,"3,251.6",Fixed-wing,Small,I,F,F,F,,III,5,Yes,37,"6,178","According to FSB data, If flaps configuration is set for 15 or 20 degrees (not full flaps), AAC is C.",,,,,,,,,,,,,,,,
C55B,C55B,CESSNA,Cessna Citation Bravo,Cessna Citation Bravo,Jet,2,B,,,III,3,117,,,51.7,,47.7,15.0,21.5,21.5,27.2,"14,800","13,500",S,Light,"3,251.6",Fixed-wing,Small+,I,F,F,F,,III,7,Yes,95,"41,802",,,,,,,,,,,,,,,,,
C560,C560,CESSNA,Cessna Citation V/Ultra/Encore,Cessna Citation V,Jet,2,B,,,II,2A,103,,,54.1,,48.9,15.0,20.1,19.9,17.6,"16,300","15,200",S,Medium,"3,455.0",Fixed-wing,Small+,H,F,E,E,,III,8,Yes,584,"395,140","According to FSB data, If flaps configuration is set for 15 or 20 degrees (not full flaps), AAC is C.",,,,,,,,,,,,,,,,
C56X,C56X,CESSNA,Cessna Excel/XLS,Cessna Citation XLS+,Jet,2,B,,,II,1B,116,,,56.3,,51.8,17.2,21.9,21.9,14.9,"20,200","18,700",S,Medium,"3,766.9",Fixed-wing,Small+,H,F,E,E,,III,7,Yes,636,"644,296","According to FSB data, If flaps configuration is set for 15 or 20 degrees (not full flaps), AAC is C.",,,,,,,,,,,,,,,,
C650,C650,CESSNA,Cessna III/VI/VII,Cessna Citation VII,Jet,2,C,,,II,1B,126,,,53.5,,55.5,16.8,21.3,21.3,9.4,"23,000","17,000",D,Medium,"3,841.8",Fixed-wing,Small+,H,F,E,E,,III,8,Yes,214,"100,762",,,,,,,,,,,,,,,,,
C680,C680,CESSNA,Cessna Citation Sovereign,Cessna Citation Sovereign,Jet,2,B,,,II,1B,108,,,63.1,,63.5,20.3,27.6,27.6,10.0,"30,300","27,100",D,Medium,"5,007.4",Fixed-wing,Small+,H,F,E,E,,III,6,Yes,296,"270,509",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
C68A,C68A,CESSNA,Cessna Citation Latitude,Cessna 680A Citation Latitude,Jet,2,B,,,II,1B,100,,,72.3,,62.3,20.9,27.0,27.0,10.0,"30,800","27,575",D,Medium,"5,536.9",Fixed-wing,Small+,H,F,E,E,,III,6,Yes,194,"417,146",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
C700,C700,CESSNA,Cessna Citation Longitude,Cessna Citation Longitude,Jet,2,C,,,II,1B,121,,,68.9,,73.2,19.4,31.6,31.6,9.7,"39,500","33,500",D,Medium,"6,169.2",Fixed-wing,Small+,H,F,E,E,,III,7,Yes,33,"65,935",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
C72R,C72R,CESSNA,Cessna 172RG Cutlass RG,Cessna 172RG Cutlass RG,Piston,1,A,,,I,1A,62,,,36.1,,27.2,8.9,5.4,5.8,8.4,"2,450","2,450",S,Light,"1,484.4",Fixed-wing,Small,I,F,F,F,,I,1,Yes,467,"6,904",,,,,,,,,,,,,,,,,
C750,C750,CESSNA,Cessna Citation X,Cessna Citation X,Jet,2,C,,,II,1B,131,,,63.6,,72.3,19.3,28.7,28.7,10.6,"36,100","31,800",D,Medium,"5,691.5",Fixed-wing,Small+,H,F,E,E,,III,9,Yes,284,"222,906",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
C77R,C77R,CESSNA,Cessna 177 Cardinal RG,Cessna 177RG Cardinal RG,Piston,1,A,,,I,1A,65,,,35.5,,27.3,8.6,7.6,7.6,8.4,"2,800","2,800",S,Light,"1,467.4",Fixed-wing,Small,I,F,F,F,,I,2,Yes,798,"8,718",,,,,,,,,,,,,,,,,
C82R,C82R,CESSNA,Cessna Skylane RG,Cessna R182 Skylane RG,Piston,1,A,,,I,1A,64,,,36.0,,29.0,9.3,5.6,5.6,9.0,"3,100","2,950",S,Light,"1,564.0",Fixed-wing,Small,I,F,F,F,,I,2,Yes,719,"14,290",,,,,,,,,,,,,,,,,
CH7A,CH7A,AERONCA,Aeronca 7AC,Citabria Aurora 7ECA,Piston,1,A,,,I,1A,56,,,33.5,,22.1,7.7,15.9,15.9,6.3,"1,220","1,220",S,Light,"1,178.9",Fixed-wing,Small,I,F,F,F,,I,1,Yes,"2,133",28,,,,,,,,,,,,,,,,,
CH7B,CH7B,BELLANCA,Bellanca 7GCBC Citabria,Bellanca Citabria Adventure 7GCAA,Piston,1,A,,,I,1B,56,,,33.5,,22.1,7.6,25.2,25.2,7.0,"1,800","1,800",S,Light,"1,178.0",Fixed-wing,Small,I,F,F,F,,I,1,Yes,478,152,,,,,,,,,,,,,,,,,
CL30,CL30,BOMBARDIER,Bombardier (Canadair) Challenger 300,Bombardier Challenger 300,Jet,2,C,,,II,1B,126,,,63.8,,68.8,20.3,27.8,27.8,12.6,"38,850","33,750",D,Medium,"5,445.0",Fixed-wing,Small+,H,F,E,E,,III,7,Yes,482,"300,545",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
CL35,CL35,BOMBARDIER,Bombardier Challenger 350,Bombardier Challenger 350,Jet,2,C,,,II,1B,124,,,68.9,,68.6,20.0,24.8,24.8,12.8,"40,600","34,150",D,Medium,"5,807.0",Fixed-wing,Small+,H,F,E,E,,III,7,Yes ,200,"393,187",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
CL41,CL41,CANADAIR,Canadair 41 Tutor,Canadair CL-41 Tutor,Jet,1,N/A,,,I,1A,N/A,,,36.5,,32.0,9.4,12.5,12.5,14.3,"7,787",N/A,S,Light,"1,720.5",Fixed-wing,Small,I,F,F,F,,III,N/A,Yes,1,900,,,,,,,,,,,,,,,,,
CL60,CL60,CANADAIR,Canadair Challenger 600/601/604,Canadair Challenger 604,Jet,2,C,,,II,1B,137,,,64.3,,68.4,20.7,26.2,26.2,13.0,"47,600","38,000",D,Medium,"5,457.3",Fixed-wing,Large,G,E,D,D,,III,8,Yes,630,"346,361",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
CN35,CN35,CASA,CASA CN-235,CASA CN-235,Turboprop,2,B,,,III,1B,110,,,84.7,,64.5,26.8,22.4,23.0,14.2,"36,376","36,376",2S,Medium,"6,581.7",Fixed-wing,Small+,H,F,E,E,,III,N/A,Yes,1,"11,653",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
COL3,COL3,LANCAIR-CESSNA,Lancair LC-40 Columbia 300,Cessna 350 Corvalis,Piston,1,A,,,I,1A,78,,,36.1,,25.2,9.0,6.8,6.8,8.5,"3,400","3,230",S,Light,"1,390.2",Fixed-wing,Small,I,F,F,F,,I,6,Yes,76,"9,964",,,,,,,,,,,,,,,,,
COL4,COL4,LANCAIR-CESSNA,Lancair LC-41 Columbia 400,Cessna 400 Corvalis TT,Piston,1,A,,,I,1A,78,,,36.1,,25.2,9.0,6.8,6.8,8.5,"3,400","3,230",S,Light,"1,390.2",Fixed-wing,Small,I,F,F,F,,I,6,Yes,469,"29,710",,,,,,,,,,,,,,,,,
COUR,COUR,HELIO,HELIO U-10 Super Courier,HELIO H-295 Super Courier,Piston,1,N/A,,,I,1B,N/A,,,39.0,,31.0,14.7,23.4,23.4,9.5,"3,400","3,400",S,Light,"1,764.0",Fixed-wing,Small,I,F,F,F,,I,1,Yes,3,160,,,,,,,,,,,,,,,,,
CRJ1,CRJ1,CANADAIR,canadair CRJ-100,Canadair CRJ-100,Jet,2,D,,,II,1B,141,,,69.6,,87.8,20.7,28.7,28.7,14.7,"47,450","47,000",D,Medium,"7,386.9",Fixed-wing,Large,G,E,D,D,,III,7,Yes,16,"1,460",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
CRJ2,CRJ2,CANADAIR,canadair CRJ-200,Canadair CRJ-200,Jet,2,D,,,II,1B,141,,,68.7,,87.8,20.8,37.4,37.4,13.3,"47,450","44,700",D,Medium,"7,302.9",Fixed-wing,Large,G,E,D,D,,III,7,Yes ,511,"1,358,551",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
CRJ7,CRJ7,CANADAIR,canadair CRJ-700,Bombardier CRJ-700,Jet,2,C,,,II,2B,135,,,76.3,,106.6,24.8,49.3,49.3,16.4,"75,000","67,000",D,Medium,"9,625.1",Fixed-wing,Large,G,E,D,D,,III,7,Yes,249,"1,167,873",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
CRJ9,CRJ9,CANADAIR,canadair CRJ-900,Canadair CRJ-900,Jet,2,D,C,D,III,2B,141,132,141,81.5,,118.8,24.1,56.8,56.8,16.4,"80,500","73,500",D,Medium,"11,334.2",Fixed-wing,Large,G,E,D,D,,III,8,Yes,306,"1,660,996","Long Range version has an increased MALW, such that CRJ9 approach Category falls into D. AAC validated by Flight Standardization Board (FSB) report.",,,,,,,,,,,,,,,,
CRUZ,CRUZ,CZAW,CZAW SportCruiser,CZAW SportCruiser,Piston,1,A,,,I,1A,39,,,28.8,,21.3,7.6,5.1,5.1,7.4,"1,320","1,320",S,Light,"1,020.4",Fixed-wing,Small,I,F,F,F,,I,1,Yes,214,516,,,,,,,,,,,,,,,,,
CVLP,CVLP,CONVAIR,Convair CV-440 Metropolitan,Convair CV-240 Convairliner,Piston,2,B,,,III,3,107,,,91.8,,79.2,27.9,25.5,26.2,28.1,"41,790","39,800",D,Medium,"8,571.6",Fixed-wing,Large,F,D,D,C,,III,7,Yes,11,"2,508",,,,,,,,,,,,,,,,,
CVLT,CVLT,CONVAIR-CANADAIR,"Convair CV-580/600/640, C-131H",Canadair CL-66,Turboprop,2,B,,,III,3,107,,,105.3,,95.8,29.2,25.2,26.2,24.1,"58,500","52,000",D,Medium,"11,622.2",Fixed-wing,Large,F,D,D,C,,III,7,Yes,2,"21,004",,,,,,,,,,,,,,,,,
D328,D328,DORNIER,Dornier 328 Series,Dornier 328,Turboprop,2,B,,,II,1B,110,,,68.8,,69.8,23.2,25.0,25.0,14.9,"30,843","31,725",D,Medium,"5,896.5",Fixed-wing,Small+,H,F,E,E,,III,7,Yes,46,"16,416",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
DA40,DA40,DIAMOND,Diamond Star DA40,Diamond DA40 NG,Piston,1,A,,,I,1A,77,,,39.2,,26.3,6.5,5.8,5.8,10.0,"2,888","2,407",S,Light,"1,537.5",Fixed-wing,Small,I,F,F,F,,I,4,Yes,820,"92,275",,,,,,,,,,,,,,,,,
DA42,DA42,DIAMOND,Diamond Twin Star,Diamond DA42 Twin Star,Piston,2,A,,,I,1A,88,,,44.5,,28.1,8.2,4.9,4.9,10.0,"3,935","3,748",S,Light,"1,803.0",Fixed-wing,Small,I,F,F,F,,II,4,Yes,203,"23,039",,,,,,,,,,,,,,,,,
DC10,DC10,BOEING-MCDONNELL DOUGLAS,Boeing (Douglas) DC 10-10/30/40,McDonnell Douglas DC10-30,Jet,3,D,,,IV,5,149,,,165.3,,181.6,58.1,72.4,95.3,43.2,"580,000","436,000",2D/D1,Heavy,"32,711.0",Fixed-wing,Heavy,C,C,C,B,,III,9,Yes,76,"37,839",,,,,,,,,,,,,,,,,
DC3,DC3,DOUGLAS,Douglas DC 3,Douglas DC-3,Piston,2,B,,,III,3,97,,,95.2,,64.7,16.9,36.3,36.3,20.1,"25,200","24,400",S,Medium,"7,326.6",Fixed-wing,Small+,H,F,E,E,,III,8,Yes,175,798,AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
DC3S,DC3S,DOUGLAS,Douglas Super DC-3,Douglas R4D-8,Piston,2,B,,,III,3,97,,,90.0,,67.8,16.7,36.3,36.3,20.1,"25,200","24,400",S,Medium,"7,280.0",Fixed-wing,Small+,H,F,E,E,,III,8,Yes,7,80,AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
DC6,DC6,DOUGLAS,Douglas DC 6,Douglas DC-6,Piston,4,B,,,III,3,108,,,117.5,,100.6,28.4,30.8,30.8,28.5,"107,000","88,200",D,Medium,"13,464.0",Fixed-wing,Large,F,D,D,C,,III,7,Yes,30,"4,386",,,,,,,,,,,,,,,,,
DC87,DC87,DOUGLAS,Douglas DC-8-70,Douglas DC8-72CF,Jet,4,D,,,IV,4,143,,,148.4,,187.7,43.3,60.8,85.5,24.9,"335,100","249,990",2D,Heavy,"30,530.0",Fixed-wing,Heavy,D,C,G,G,,III,9,Yes,6,"2,626",,,,,,,,,,,,,,,,,
DC91,DC91,DOUGLAS,Douglas DC 9-10,Douglas DC-9-10,Jet,2,C,,,III,2B,132,,,89.4,,104.4,27.6,47.4,47.4,17.8,"90,700","81,700",D,Medium,"10,874.4",Fixed-wing,Large,G,E,D,D,,III,8,Yes,14,"11,686",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
DC93,DC93,DOUGLAS,Douglas DC 9-30,Douglas C9-B,Jet,2,C,,,III,2B,132,,,93.3,,119.3,27.8,53.2,53.2,18.4,"108,000","99,000",D,Medium,"12,840.2",Fixed-wing,Large,F,D,D,C,,III,8,Yes,12,"22,578",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
DC95,DC95,DOUGLAS,Douglas DC 9-50,Douglas DC-9-50,Jet,2,C,,,III,2B,135,,,93.4,,133.6,28.8,43.7,43.7,18.2,"121,000","110,000",D,Medium,"14,322.2",Fixed-wing,Large,F,D,D,C,,III,8,Yes,1,14,AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
DH8A,DH8A,DEHAVILLAND CANADA,DeHavilland Canada DHC8-100,DeHavilland Canada DHC-8 100,Turboprop,2,B,,,III,3,92,,,85.0,,73.0,24.6,26.1,26.1,28.1,"34,500","33,900",D,Medium,"7,410.0",Fixed-wing,Large,G,E,D,D,,III,4,Yes,22,"154,808",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
DH8B,DH8B,DEHAVILLAND CANADA,DeHavilland Canada DHC8-200,DeHavilland Canada DHC-8 200,Turboprop,2,B,,,III,3,92,,,85.0,,73.0,24.6,26.1,26.1,28.1,"36,300","34,500",D,Medium,"7,410.0",Fixed-wing,Large,G,E,D,D,,III,4,Yes,36,"8,488",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
DH8C,DH8C,DEHAVILLAND CANADA,DeHavilland Canada Dash 8/DHC8-300,DeHavilland Canada DHC-8 300,Turboprop,2,B,,,III,3,99,,,90.0,,84.3,24.6,33.5,33.5,28.1,"41,100","42,000",D,Medium,"8,925.0",Fixed-wing,Large,G,E,D,D,,III,5,Yes,26,"123,358",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
DH8D,DH8D,DEHAVILLAND CANADA,DeHavilland Canada 8/DHC8-400,DeHavilland Canada Dash-8 Q400,Turboprop,2,C,,,III,5,125,,,93.3,,107.8,27.4,45.8,45.8,31.4,"64,500","61,750",D,Medium,"11,641.4",Fixed-wing,Large,F,D,D,C,,III,6,Yes,56,"675,282",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
DHC2,DHC2,DEHAVILLAND CANADA,DeHavilland Canada 2 Mk1 Beaver,DeHavilland Canada DHC-2 Beaver,Piston,1,A,,,I,1B,51,,,48.0,,30.3,9.0,22.2,22.2,10.6,"5,100",N/A,S,Light,"2,044.5",Fixed-wing,Small,I,F,F,F,,I,2,Yes,228,336,,,,,,,,,,,,,,,,,
DHC6,DHC6,DEHAVILLAND CANADA,DeHavilland Canada Twin Otter,DeHavilland Canada DHC-6 Twin Otter,Turboprop,2,A,,,II,1A,74,,,65.0,,51.8,19.3,12.2,14.9,14.9,"12,500","12,300",S,Light,"4,256.3",Fixed-wing,Small,H,F,F,F,,II,4,Yes,131,"36,268",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
DHC7,DHC7,DEHAVILLAND CANADA,DeHavilland Canada DHC-7,DeHavilland Canada DHC-7 Dash 7,Turboprop,4,A,,,III,3,83,,,93.0,,80.5,26.2,26.1,28.0,28.1,"44,000","42,000",D,Medium,"8,806.5",Fixed-wing,Large,F,D,D,C,,III,2,Yes,8,"7,702",,,,,,,,,,,,,,,,,
DV20,DV20,DIAMOND,Diamond 20 Katana,Diamond DV-20 Katana,Piston,1,A,,,I,1A,59,,,35.7,,23.5,7.2,5.5,5.5,6.7,"1,609","1,609",S,Light,"1,302.5",Fixed-wing,Small,I,F,F,F,,I,2,Yes,327,"1,910",,,,,,,,,,,,,,,,,
E110,E110,EMBRAER,Embraer EMB110 Bandeirante,Embraer EMB-110 Bandeirante,Turboprop,2,B,,,II,2A,92,,,50.3,,50.3,16.2,17.0,17.0,17.0,"13,010","12,566",S,Light,"3,333.8",Fixed-wing,Small+,I,F,F,F,,III,7,Yes,14,"9,856",,,,,,,,,,,,,,,,,
E120,E120,EMBRAER,Embraer Brasilia EMB 120,Embraer EMB-120,Turboprop,2,B,,,II,3,113,,,64.9,,65.7,21.4,22.9,22.9,23.5,"26,433","25,794",D,Medium,"5,294.1",Fixed-wing,Small+,H,F,E,E,,III,7,Yes,50,"80,135",,,,,,,,,,,,,,,,,
E135,E135,EMBRAER,Embraer ERJ 135/140/Legacy,Embraer EMB-135LR,Jet,2,C,,,II,2B,124,,,65.8,,93.4,22.2,40.8,40.8,15.7,"44,533","41,226",D,Medium,"7,455.3",Fixed-wing,Large,G,E,D,D,,III,7,Yes,165,"136,322",,,,,,,,,,,,,,,,,
E145,E145,EMBRAER,Embraer ERJ-145,Embraer EMB-145LR,Jet,2,C,,,II,2B,124,,,65.8,,98.0,22.2,47.4,47.4,15.7,"48,502","41,226",D,Medium,"7,802.3",Fixed-wing,Large,G,E,D,D,,III,7,Yes,379,"1,003,589",,,,,,,,,,,,,,,,,
E170,E170,EMBRAER,Embraer 170,Embraer ERJ 170-100 IGW,Jet,2,C,,,III,3,124,,,,85.3,98.1,32.3,33.8,38.8,20.5,"85,098","73,413",D,Medium,"9,823.5",Fixed-wing,Large,G,E,D,D,,III,7,Yes,663,"847,192",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
E190,E190,EMBRAER,Embraer 190,Embraer ERJ 190-100 IGW,Jet,2,C,,,III,3,124,,,,94.2,118.9,34.6,41.0,46.0,22.9,"110,892","94,799",D,Medium,"12,912.5",Fixed-wing,Large,F,D,D,C,,III,7,Yes,126,"527,325",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
E195,E195,EMBRAER,Embraer 195,Embraer ERJ 190-200 IGW,Jet,2,C,,,III,3,135,,,,94.2,126.8,33.7,48.0,52.2,23.8,"115,280","100,972",D,Medium,"13,733.6",Fixed-wing,Large,F,D,D,C,,III,N/A,Yes ,3,"11,589",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
E290,E290,EMBRAER,Embraer 190-E2,Embraer ERJ 190-300,Jet,2,C,,,III,3,125,,,110.6,,118.8,36.1,39.7,49.3,22.4,"124,340","108,136",D,Medium,"14,921.7",Fixed-wing,Large,F,D,D,C,,III,N/A,No,0,294,AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
E295,E295,EMBRAER,Embraer 195-E2,Embraer ERJ-190-400,Jet,2,C,,,III,3,136,,,115.2,,136.2,35.8,48.0,52.2,23.8,"135,585","119,049",D,Medium,"17,666.3",Fixed-wing,Large,F,D,N/A,N/A,,III,N/A,No,0,290,,,,,,,,,,,,,,,,,
